route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,direction_name,wheelchair_accessible
216,Weekday,1000__201007_Timetable_-_2026-02,Taunton,0,201007_Timetable_-_2026-02,100.0.1952647071_Timetable_-_2026-02,Northbound,1
216,Weekday,1001__201050_Timetable_-_2026-02,Taunton,0,201050_Timetable_-_2026-02,100.0.1952647071_Timetable_-_2026-02,Northbound,1
216,Weekday,1002__201051_Timetable_-_2026-02,Taunton,0,201051_Timetable_-_2026-02,100.0.1952647071_Timetable_-_2026-02,Northbound,1
216,Weekday,1003__201050_Timetable_-_2026-02,Taunton,0,201050_Timetable_-_2026-02,100.0.1952647071_Timetable_-_2026-02,Northbound,1
216,Weekday,1004__201051_Timetable_-_2026-02,Taunton,0,201051_Timetable_-_2026-02,100.0.1952647071_Timetable_-_2026-02,Northbound,1
216,Weekday,1005__201050_Timetable_-_2026-02,Taunton,0,201050_Timetable_-_2026-02,100.0.1952647071_Timetable_-_2026-02,Northbound,1
216,Weekday,1006__201051_Timetable_-_2026-02,Taunton,0,201051_Timetable_-_2026-02,100.0.1952647071_Timetable_-_2026-02,Northbound,1
216,Weekday,1007__201028_Timetable_-_2026-02,C - Audley,0,201028_Timetable_-_2026-02,100.0.2242007235_Timetable_-_2026-02,Northbound,1
216,Weekday,1008__201065_Timetable_-_2026-02,C - Audley,0,201065_Timetable_-_2026-02,100.0.2242007235_Timetable_-_2026-02,Northbound,1
216,Weekday,1009__201064_Timetable_-_2026-02,C - Audley,0,201064_Timetable_-_2026-02,100.0.2242007235_Timetable_-_2026-02,Northbound,1
405,Weekday,100__401002_Timetable_-_2026-02,Delpark Homes Centre,0,401002_Timetable_-_2026-02,100.0.1046829421_Timetable_-_2026-02,Northbound,1
216,Weekday,1010__201030_Timetable_-_2026-02,C - Audley,0,201030_Timetable_-_2026-02,100.0.2242007235_Timetable_-_2026-02,Northbound,1
216,Weekday,1011__201040_Timetable_-_2026-02,C - Audley,0,201040_Timetable_-_2026-02,100.0.2242007235_Timetable_-_2026-02,Northbound,1
216,Weekday,1012__201049_Timetable_-_2026-02,C - Audley,0,201049_Timetable_-_2026-02,100.0.2242007235_Timetable_-_2026-02,Northbound,1
216,Weekday,1013__201065_Timetable_-_2026-02,C - Audley,0,201065_Timetable_-_2026-02,100.0.2242007235_Timetable_-_2026-02,Northbound,1
